State,MOTUSETECH,MOTUSETECH_LABEL,FIRMPDEMP,State Code,Region,Division
South Dakota,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,31,SD,Midwest,West North Central
South Dakota,T1E04C06,Artificial Intelligence: Some other reason,84,SD,Midwest,West North Central
South Dakota,T1E04C99,Artificial Intelligence: Total Reporting,613,SD,Midwest,West North Central
Tennessee,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,960,TN,South,East South Central
Tennessee,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,1207,TN,South,East South Central
Tennessee,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,1528,TN,South,East South Central
Tennessee,T1E04C04,Artificial Intelligence: To expand the range of goods or services,563,TN,South,East South Central
Tennessee,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,298,TN,South,East South Central
Tennessee,T1E04C06,Artificial Intelligence: Some other reason,376,TN,South,East South Central
Tennessee,T1E04C99,Artificial Intelligence: Total Reporting,2835,TN,South,East South Central
Texas,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,3177,TX,South,West South Central
Texas,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,5006,TX,South,West South Central
Texas,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,6115,TX,South,West South Central
Texas,T1E04C04,Artificial Intelligence: To expand the range of goods or services,2957,TX,South,West South Central
Texas,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,1476,TX,South,West South Central
Texas,T1E04C06,Artificial Intelligence: Some other reason,1747,TX,South,West South Central
Texas,T1E04C99,Artificial Intelligence: Total Reporting,11447,TX,South,West South Central
Utah,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,654,UT,West,Mountain
Utah,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,717,UT,West,Mountain
Utah,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,1012,UT,West,Mountain
Utah,T1E04C04,Artificial Intelligence: To expand the range of goods or services,164,UT,West,Mountain
Utah,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,191,UT,West,Mountain
Utah,T1E04C06,Artificial Intelligence: Some other reason,241,UT,West,Mountain
Utah,T1E04C99,Artificial Intelligence: Total Reporting,1812,UT,West,Mountain
Vermont,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,132,VT,Northeast,New England
Vermont,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,138,VT,Northeast,New England
Vermont,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,254,VT,Northeast,New England
Vermont,T1E04C04,Artificial Intelligence: To expand the range of goods or services,69,VT,Northeast,New England
Vermont,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,0,VT,Northeast,New England
Vermont,T1E04C06,Artificial Intelligence: Some other reason,61,VT,Northeast,New England
Vermont,T1E04C99,Artificial Intelligence: Total Reporting,372,VT,Northeast,New England
Washington,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,1072,WA,West,Pacific
Washington,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,1294,WA,West,Pacific
Washington,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,1772,WA,West,Pacific
Washington,T1E04C04,Artificial Intelligence: To expand the range of goods or services,850,WA,West,Pacific
Washington,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,378,WA,West,Pacific
Washington,T1E04C06,Artificial Intelligence: Some other reason,789,WA,West,Pacific
Washington,T1E04C99,Artificial Intelligence: Total Reporting,3521,WA,West,Pacific
Virginia,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,1016,VA,South,South Atlantic
Virginia,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,1752,VA,South,South Atlantic
Virginia,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,2064,VA,South,South Atlantic
Virginia,T1E04C04,Artificial Intelligence: To expand the range of goods or services,1178,VA,South,South Atlantic
Virginia,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,451,VA,South,South Atlantic
Virginia,T1E04C06,Artificial Intelligence: Some other reason,797,VA,South,South Atlantic
Virginia,T1E04C99,Artificial Intelligence: Total Reporting,4030,VA,South,South Atlantic
West Virginia,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,146,WV,South,South Atlantic
West Virginia,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,352,WV,South,South Atlantic
West Virginia,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,312,WV,South,South Atlantic
West Virginia,T1E04C04,Artificial Intelligence: To expand the range of goods or services,87,WV,South,South Atlantic
West Virginia,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,77,WV,South,South Atlantic
West Virginia,T1E04C06,Artificial Intelligence: Some other reason,158,WV,South,South Atlantic
West Virginia,T1E04C99,Artificial Intelligence: Total Reporting,628,WV,South,South Atlantic
Wisconsin,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,766,WI,Midwest,East North Central
Wisconsin,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,1047,WI,Midwest,East North Central
Wisconsin,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,1376,WI,Midwest,East North Central
Wisconsin,T1E04C04,Artificial Intelligence: To expand the range of goods or services,706,WI,Midwest,East North Central
Wisconsin,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,219,WI,Midwest,East North Central
Wisconsin,T1E04C06,Artificial Intelligence: Some other reason,741,WI,Midwest,East North Central
Wisconsin,T1E04C99,Artificial Intelligence: Total Reporting,2976,WI,Midwest,East North Central
Wyoming,T1E04C01,Artificial Intelligence: To automate tasks performed by labor,68,WY,West,Mountain
Wyoming,T1E04C02,Artificial Intelligence: To upgrade outdated processes or methods,79,WY,West,Mountain
Wyoming,T1E04C03,Artificial Intelligence: To improve quality or reliability of processes or methods,137,WY,West,Mountain
Wyoming,T1E04C04,Artificial Intelligence: To expand the range of goods or services,131,WY,West,Mountain
Wyoming,T1E04C05,Artificial Intelligence: To adopt standards and accreditation,20,WY,West,Mountain
Wyoming,T1E04C06,Artificial Intelligence: Some other reason,118,WY,West,Mountain
Wyoming,T1E04C99,Artificial Intelligence: Total Reporting,350,WY,West,Mountain
